Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:11:50	151443	120.3790
2023-08-01	14:11:50	191463	120.3790
2023-08-01	14:11:50	209636	120.3790
2023-08-01	14:11:50	216688	120.3790
2023-08-01	14:11:50	226910	120.3790
2023-08-01	14:11:50	233468	120.3790
2023-08-01	14:11:50	238054	120.3790
2023-08-01	14:11:50	242290	120.3790
2023-08-01	14:11:50	247915	120.3790
2023-08-01	14:11:50	252322	120.3790
2023-08-01	14:11:50	256200	120.3790
2023-08-01	14:11:50	260496	120.3790
2023-08-01	14:11:50	267441	120.3790
2023-08-01	14:11:50	274662	120.3790
2023-08-01	14:11:50	280687	120.3790
2023-08-01	14:11:50	289587	120.3790
2023-08-01	14:11:50	297759	120.3790
2023-08-01	14:11:50	306405	120.3790
2023-08-01	14:11:50	314794	120.3790
2023-08-01	14:11:51	323681	120.3790
2023-08-01	14:11:51	335305	120.3790
2023-08-01	14:11:51	344264	120.3790
2023-08-01	14:11:51	351744	120.3790
2023-08-01	14:11:51	360455	120.3790
2023-08-01	14:11:51	378053	120.3790
2023-08-01	14:11:51	391329	120.3790
2023-08-01	14:11:51	400432	120.3790
2023-08-01	14:11:51	407144	120.3790
2023-08-01	14:11:51	413665	120.3790
2023-08-01	14:11:51	418958	120.3790
2023-08-01	14:11:51	422827	120.3790
2023-08-01	14:11:51	426749	120.3790
2023-08-01	14:11:51	430992	120.3790
2023-08-01	14:11:51	435410	120.3790
2023-08-01	14:11:51	440679	120.3790
2023-08-01	14:11:51	445533	120.3790
2023-08-01	14:11:51	449513	120.3790
2023-08-01	14:11:51	453378	120.3790
2023-08-01	14:11:51	457128	120.3790
2023-08-01	14:11:51	461273	120.3790
2023-08-01	14:11:51	465096	120.3790
2023-08-01	14:11:51	468499	120.3790
2023-08-01	14:11:51	472516	120.3790
2023-08-01	14:11:51	476701	120.3790
2023-08-01	14:11:51	480367	120.3790
2023-08-01	14:11:51	483897	120.3790
2023-08-01	14:11:51	487643	120.3790
2023-08-01	14:11:51	491298	120.3790
2023-08-01	14:11:51	496497	120.3790
2023-08-01	14:11:51	500509	120.3790
